author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
Thomas;r1551925;Friday;;;27/11/2015;Nov;16:57:44;July ;102.00;1;1;Renamed folder to the correct name;;;;;
Thomas;r1551575;Friday;;;27/11/2015;Nov;09:46:32;Aug;83.00;1;1;Removed unused webview.plan.management and webview_plan_management properties;;;;;
Vincent;r1551569;Friday;;;27/11/2015;Nov;09:38:09;Sept;44.00;1;1;enable all clients;;;;;
Thomas;r1551558;Friday;;;27/11/2015;Nov;09:13:26;Oct;97.00;1;1;Chnaged jira url to htps;;;;;
/OU=Domain Control Validated/CN=svn.company.net;r1551504;Friday;;;27/11/2015;Nov;07:05:41;Nov;95.00;1;1;[gradle-release] prepare for next development iteration;;;;;
Vincent;r1551486;Friday;;;27/11/2015;Nov;06:10:10;;;1;1;SFR-108 : preparing release for SFR;;;;;
Vincent;r1551485;Friday;;;27/11/2015;Nov;06:06:30;;;1;1;SFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.;;;;;
Vincent;r1551375;Thursday;;;26/11/2015;Nov;15:01:51;;;1;1;SFR-108 : androidM related strings added.;;;;;
Vincent;r1551347;Thursday;;;26/11/2015;Nov;14:35:32;;;1;1;SFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer;;;;;
Vincent;r1551334;Thursday;;;26/11/2015;Nov;14:20:12;;;1;1;SFR-108 : using WL base & snc urls;;;;;
Vincent;r1551332;Thursday;;;26/11/2015;Nov;14:17:48;;;4;1;SFR-108 : Create bilingual French/English translated Android application for SFR ----------- contact-sync enabled correctly. ;;;;;
Vincent;r1551313;Thursday;;;26/11/2015;Nov;13:58:15;;;4;1;SFR-108 : Create bilingual French/English translated Android application for SFR ----------- contact-sync disabled. It was not a correct way. ;;;;;
Thomas;r1551307;Thursday;;;26/11/2015;Nov;13:48:29;;;1;1;Removed AMX specific layouts.;;;;;
Vincent;r1551294;Thursday;;;26/11/2015;Nov;13:30:16;;;4;1;SFR-108 : Help Foother can be configured by enable_help_footer. for SFR it is disabled.  ;;;;;
Vincent;r1551249;Thursday;;;26/11/2015;Nov;12:16:06;;;5;1;SFR-108 : Create bilingual French/English translated Android application for SFR ----------- contact-sync enabled.  ;;;;;
